STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-29,100,100,8.5,1116,947,0,0.1,0,,36,29,,60,,,45,,,13,,,17.2,,1,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-30,60,40,9.4,1643,137,0.1,0.2,0,,38,29,,180,,,270,,,14.1,,,17.2,,1,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-31,40,30,20.36,1150,1120,0.07,0,0,,38,21,,320,,,315,,,29.1,,,38,,1,,,1,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-01,0,0,13.65,2351,13,0,0,0,,28,15,,320,,,315,,,21,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-02,10,0,8.72,1951,2126,0,0,0,,37,15,,200,,,180,,,14.1,,,17.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-03,70,100,16.55,2051,1415,0.17,0,0,,49,37,,180,,,180,,,23.9,,,28.9,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-04,80,100,7.38,16,15,0.21,0,0,,50,37,,200,,,180,,,15,,,17.2,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-05,70,100,12.3,,2213,0.54,0,0,,39,35,,260,,,270,,,17,,,26.4,,1,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-06,60,50,12.3,50,41,0,0,0,,41,32,,260,,,270,,,17.9,,,25.3,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-07,10,0,18.79,2350,2157,0,0,0,,34,22,,340,,,315,,,23,,,33.3,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-08,10,10,16.78,50,38,0,0,0,,33,19,,340,,,315,,,25.9,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-09,30,60,11.41,350,618,0,0,0,,39,28,,270,,,270,,,19.9,,,23,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-10,30,30,8.72,2152,1312,0,0,0,,46,26,,170,,,180,,,15,,,16.1,,1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-11,100,100,6.49,1528,1509,0.08,0,0,,51,37,,200,,,180,,,11,,,13.9,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-12,40,0,7.16,1451,608,0,0,0,,54,36,,240,,,270,,,12.1,,,15,,1,1,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-13,100,100,8.05,2142,2140,0.04,0,0,,43,36,,100,,,90,,,15,,,17.2,,1,1,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-14,100,100,16.33,1054,2110,0.05,0,0,,56,40,,100,,,135,,,21.9,,,27.5,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-15,100,100,12.53,950,1013,0.67,0,0,,58,48,,100,,,90,,,25.1,,,33.3,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-16,90,100,11.63,851,905,0.01,0,0,,50,44,,50,,,45,,,17.9,,,24.2,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-17,100,100,7.61,1051,221,0,0,0,,44,40,,80,,,45,,,10.1,,,17.2,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-18,100,90,9.17,1650,708,0.02,0,0,,54,40,,20,,,270,,,13,,,18.3,,1,1,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-19,100,100,8.28,1650,1604,0.01,0,0,,47,40,,150,,,135,,,14.1,,,16.1,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-20,80,70,14.09,1350,2219,0,0,0,,55,43,,290,,,315,,,21.9,,,30,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-02-21,40,60,17.45,1542,1542,0,0,0,,48,36,,320,,,315,,,28,,,36.7,,,,1,,,,,,,,,,,1,,,,,,
